,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release date,artist popularity
9737,0.642,0.6729999999999999,8.0,-7.154,0.0,0.0248,0.0114,0.00156,0.11,0.423,100.004,238093.0,1999-01-01,[44]
9738,0.599,0.6729999999999999,9.0,-12.222,0.0,0.0334,0.0029,0.828,0.227,0.584,139.971,111308.0,2017-10-09,[1]
9739,0.2,0.259,2.0,-14.286,0.0,0.0407,0.976,0.00973,0.103,0.038,78.38600000000002,471879.0,2020-11-20,"[60, 7, 1, 34, 14, 0, 23, 17]"
9740,0.386,0.109,7.0,-16.297,0.0,0.0355,0.965,0.7040000000000001,0.0851,0.2,138.946,127653.0,2020-08-19,[36]
9741,0.563,0.82,9.0,-7.888,1.0,0.0308,0.0106,0.0262,0.33,0.913,117.595,178289.0,2019-10-31,"[22, 22]"
9742,0.6679999999999999,0.779,9.0,-11.089,1.0,0.0325,0.0025,0.00034700000000000003,0.139,0.963,140.873,245467.0,1986-01-01,[69]
9743,0.6579999999999999,0.218,8.0,-17.302,1.0,0.0377,0.8759999999999999,0.00188,0.16,0.632,106.73,107227.0,1963-05-27,[78]
9744,0.417,0.377,2.0,-19.623,1.0,0.0573,0.987,0.889,0.115,0.528,111.853,40293.0,2020-11-21,"[77, 37]"
9745,0.521,0.8109999999999999,8.0,-6.162000000000001,1.0,0.105,0.31,0.0958,0.145,0.537,170.55900000000003,293960.0,1995-01-01,[67]
9746,0.3,0.444,3.0,-6.852,1.0,0.0324,0.948,0.126,0.395,0.165,151.31799999999996,117552.0,2015,"[50, 32]"
9747,0.531,0.5539999999999999,9.0,-14.74,1.0,0.0314,0.00139,0.00634,0.325,0.63,92.001,103080.0,2020-05-27,[0]
9748,0.635,0.316,0.0,-15.439,1.0,0.4320000000000001,0.194,0.0,0.248,0.547,166.275,87867.0,2012-12-05,[17]
9749,0.7390000000000001,0.792,2.0,-7.467,1.0,0.79,0.00105,0.00386,0.292,0.263,139.889,248621.0,2020-10-27,"[21, 7]"
9750,0.458,0.627,4.0,-10.031,0.0,0.032,0.0163,0.8590000000000001,0.121,0.269,180.101,136000.0,2020-11-17,[27]
9751,0.242,0.22,5.0,-16.794,1.0,0.0374,0.362,0.708,0.17800000000000002,0.35700000000000004,129.658,255557.0,2018-10-19,[38]
9752,0.7,0.364,11.0,-10.467,0.0,0.0678,0.0101,0.863,0.105,0.107,143.974,80000.0,2020-08-07,[16]
9753,0.7609999999999999,0.0743,3.0,-17.930999999999994,1.0,0.18,0.991,0.915,0.12,0.062,78.585,116193.0,2020-11-09,[27]
9754,0.303,0.968,6.0,-4.583,0.0,0.124,0.000226,0.272,0.0638,0.202,101.974,421493.0,2014-03-24,[72]
9755,0.0,2.03e-05,2.0,-14.51,1.0,0.0,0.0,0.0,0.838,0.0,0.0,61020.0,2016-06-21,"[46, 46, 44]"
9756,0.846,0.472,7.0,-17.907,0.0,0.0606,0.101,0.931,0.0587,0.794,117.004,60000.0,2019-05-06,[27]
9757,0.826,0.402,5.0,-15.977,0.0,0.29,0.821,3.92e-06,0.115,0.465,140.061,218522.0,2019-05-24,[0]
9758,0.722,0.674,10.0,-7.914,1.0,0.0436,0.0889,0.857,0.113,0.262,115.982,362853.0,2020-11-20,[5]
9759,0.665,0.998,6.0,-4.46,0.0,0.0696,0.0008730000000000001,0.468,0.302,0.7240000000000001,150.011,388825.0,2011-10-24,[3]
9760,0.809,0.8320000000000001,6.0,-13.19,0.0,0.0744,0.00762,0.875,0.0955,0.342,120.083,422637.0,2007-11-26,[0]
9761,0.393,0.8240000000000001,9.0,-8.669,1.0,0.0303,3.1e-06,0.617,0.0948,0.599,121.882,259017.0,2012-07-20,[0]
9762,0.8340000000000001,0.371,1.0,-11.99,1.0,0.0358,0.799,0.0,0.275,0.976,96.628,150267.0,1947,[63]
9763,0.871,0.779,1.0,-4.921,0.0,0.0618,0.5489999999999999,0.00134,0.105,0.501,131.049,195353.0,2020-09-18,"[63, 34, 57, 64, 44, 36, 56]"
9764,0.743,0.701,2.0,-5.945,1.0,0.257,0.444,0.0,0.401,0.365,120.023,264620.0,2019-04-19,[76]
9765,0.342,0.171,2.0,-16.529,1.0,0.0414,0.16899999999999998,0.0,0.0786,0.436,172.678,189627.0,1972,[37]
9766,0.721,0.385,3.0,-17.308,1.0,0.0363,0.8690000000000001,0.601,0.305,0.74,144.952,122482.0,2018-04-30,[11]
9767,0.622,0.561,3.0,-11.489,1.0,0.0349,0.605,0.0359,0.0431,0.8809999999999999,145.769,186533.0,2020-08-28,[58]
9768,0.385,0.458,2.0,-11.842,1.0,0.0367,0.00034,0.688,0.32,0.122,113.655,515040.0,2010-09-27,[0]
9769,0.487,0.993,10.0,-3.876,1.0,0.166,0.000112,0.00229,0.303,0.104,120.029,140000.0,2020-07-31,[3]
9770,0.446,0.302,8.0,-9.412,1.0,0.0547,0.7659999999999999,0.000255,0.0838,0.964,170.99599999999995,196429.0,1993-04-14,"[72, 53]"
9771,0.183,0.0256,4.0,-40.878,1.0,0.0533,0.91,0.925,0.102,0.108,132.009,126525.0,2020-08-01,"[6, 13]"
9772,0.153,0.0397,9.0,-26.025,0.0,0.0415,0.989,0.79,0.0662,0.0392,86.65100000000002,99016.0,2020-11-12,"[53, 30, 33]"
9773,0.79,0.433,9.0,-10.527,1.0,0.145,0.32,0.007909999999999999,0.08900000000000001,0.263,122.006,230257.0,2017-10-14,[82]
9774,0.316,0.501,5.0,-7.855,1.0,0.0333,0.000644,0.655,0.195,0.341,130.041,314160.0,2019-10-17,[12]
9775,0.37,0.257,4.0,-15.982,1.0,0.0418,0.919,0.000957,0.274,0.21600000000000005,71.521,117600.0,2004-01-01,"[44, 68, 64, 39]"
9776,0.8109999999999999,0.8290000000000001,2.0,-2.588,1.0,0.179,0.108,0.0,0.0788,0.7,129.016,216744.0,2016-04-22,"[77, 83, 66]"
9777,0.7440000000000001,0.257,5.0,-17.467,1.0,0.067,0.993,0.955,0.096,0.29,136.024,247445.0,2019-04-19,[25]
9778,0.7859999999999999,0.5670000000000001,0.0,-10.486,1.0,0.0666,0.00275,0.7829999999999999,0.228,0.194,107.021,406259.0,2014-11-10,[34]
9779,0.49,0.8220000000000001,4.0,-3.768,1.0,0.0443,0.00695,1.03e-06,0.326,0.516,124.074,248971.0,2020-02-15,[59]
9780,0.231,0.927,9.0,-4.695,1.0,0.129,0.0165,7.95e-06,0.326,0.616,167.41,196523.0,2010-08-31,[55]
9781,0.35200000000000004,0.7290000000000001,4.0,-7.063,1.0,0.038,0.00636,0.334,0.147,0.298,149.925,209131.0,2020-02-01,[0]
9782,0.512,0.6970000000000001,9.0,-8.852,0.0,0.05,0.0232,2.1600000000000007e-05,0.512,0.0796,127.928,277240.0,2020-11-22,"[50, 50]"
9783,0.5539999999999999,0.74,9.0,-7.706,1.0,0.0803,0.698,6.9e-05,0.225,0.804,133.363,267173.0,1973-01-01,[76]
9784,0.7559999999999999,0.419,11.0,-14.88,0.0,0.134,0.301,0.933,0.184,0.805,79.008,109367.0,2020-01-17,[67]
9785,0.665,0.452,11.0,-8.734,0.0,0.043,0.795,0.953,0.0729,0.192,140.011,194571.0,2019-02-17,[0]
9786,0.7879999999999999,0.6409999999999999,10.0,-7.671,0.0,0.0395,0.049,0.00384,0.0557,0.4920000000000001,106.026,280017.0,2019-11-08,[]
9787,0.573,0.89,5.0,-3.53,0.0,0.214,0.0212,0.0,0.132,0.242,130.254,121771.0,2017-02-13,[99]
9788,0.7559999999999999,0.285,1.0,-9.112,1.0,0.039,0.72,0.0,0.117,0.514,79.023,225977.0,2015-02-13,[74]
9789,0.727,0.13699999999999998,8.0,-26.348000000000006,1.0,0.0455,0.726,0.865,0.101,0.583,133.091,95042.0,2018-03-24,[34]
9790,0.121,0.0287,4.0,-26.847,0.0,0.0403,0.764,0.969,0.131,0.0377,90.55,156760.0,2000-06-15,"[17, 22, 54, 26]"
9791,0.376,0.722,1.0,-5.617000000000001,1.0,0.0517,0.0308,0.00176,0.0322,0.411,140.315,229667.0,2003-08-26,[49]
9792,0.852,0.547,1.0,-21.955,1.0,0.0956,0.00596,0.812,0.0664,0.963,129.997,192462.0,2010,[0]
9793,0.6890000000000001,0.7879999999999999,10.0,-7.606,0.0,0.059,0.0143,0.0027,0.0503,0.8909999999999999,124.983,235267.0,2016-12-14,[0]
9794,0.5760000000000001,0.405,3.0,-9.867,0.0,0.0571,0.838,0.00182,0.11,0.888,80.381,226534.0,2020-09-16,[45]
9795,0.512,0.469,1.0,-11.389,1.0,0.0339,0.276,0.654,0.153,0.275,89.98299999999998,194667.0,2020-08-07,[33]
9796,0.223,0.368,3.0,-13.509,1.0,0.0364,0.0527,0.0145,0.243,0.52,174.94,266085.0,1968-12-09,[31]
9797,0.6729999999999999,0.606,1.0,-7.5470000000000015,0.0,0.0383,0.122,0.892,0.0909,0.942,88.979,153708.0,2020-08-22,[23]
9798,0.8140000000000001,0.812,10.0,-10.16,0.0,0.152,0.00273,0.92,0.0681,0.569,122.025,334426.0,1970-01-18,"[0, 0]"
9799,0.505,0.382,0.0,-10.246,1.0,0.0336,0.53,0.861,0.431,0.501,112.749,64967.0,2016-05-25,[0]
9800,0.292,0.611,1.0,-7.646,1.0,0.0463,0.76,0.000325,0.3720000000000001,0.369,143.33,97985.0,2019-04-15,"[38, 42]"
9801,0.211,0.361,9.0,-10.247,0.0,0.0346,0.5329999999999999,0.0284,0.08,0.0537,179.895,139564.0,2019-01-25,[84]
9802,0.469,0.591,6.0,-6.79,0.0,0.0256,0.0035700000000000007,3.81e-05,0.242,0.157,143.007,279757.0,2020-05-08,[28]
9803,0.696,0.675,0.0,-6.769,1.0,0.0725,0.631,6.23e-06,0.114,0.254,126.901,238067.0,2018-01-12,[73]
